Epic,TaskID,Title,EstimateDays,Priority,Status,Assignee,Dependencies,Files,DoD,TestMethod
Spike,0,DXGI/BitBlt Spike,3,MUST,TODO,unassigned,,docs/spike/dxgi_compat_report.md;tests/Integration/spike_dxgi_test.cs,"生成兼容性报告，包含每台机器测试结果、失败样例、回退建议","集成手工测试：在 3 台测试机上运行 capture 示例，记录 success/fail/logs"
Spike,0.2,UIA ScrollPattern Spike,2,MUST,TODO,unassigned,,docs/spike/uia_report.md;tests/Integration/spike_uia_test.cs,"列出支持/不支持的应用和版本，定义回退触发条件","集成手工测试：在 Word/Teams/Chrome/Edge 上读取 scroll 属性并尝试 programmatic scroll，记录结果"
Infra,2,Test infra & CI,2,MUST,TODO,unassigned,,.github/workflows/test.yml;tests/SnapshotMate.Tests/README.md,"CI 能跑通单元测试，测试 README 完整","单元测试例：先写 ConvertToPhysicalPixels 的测试（失败），实现 minimal helper 使其通过；CI 运行 dotnet test 成功"
Core,3,Hotkey & Tray,2,MUST,TODO,unassigned,,src/Hotkey/HotkeyManager.cs;src/Tray/TrayService.cs;src/UI/OverlayController.cs,"热键防抖，Tray 菜单触发 Overlay 控制","单元测试：模拟热键事件序列验证防抖；Mock Tray->Overlay 调用"
UI,4,Overlay FreeRect,3,MUST,TODO,unassigned,,src/UI/OverlayWindow.*;src/Model/CaptureRect.cs,"在多 DPI 下能生成正确逻辑坐标并调用 CaptureEngine 接口","组件测试：模拟鼠标事件，断言生成的 Rect 值和调用次数"
UI,5,Window Snapper,2,MUST,TODO,unassigned,,src/Window/WindowEnumerator.cs;src/Window/Snapper.cs,"吸附阈值 8px，Tab 循环切换候选","单元测试：给定窗口布局验证候选选择和 Tab 切换循环"
Capture,6,CaptureEngine & BitBlt Adapter,3,MUST,TODO,unassigned,,src/Capture/CaptureEngine.cs;src/Capture/Adapters/BitBltAdapter.cs,"返回标准 CaptureResult；异常包装并返回 ErrorCode","单元测试：Mock adapter 异常时返回标准错误；集成：测试机上 BitBlt 能捕获图像或记录失败"
Core,7,Settings & Logging,2,MUST,TODO,unassigned,,src/Config/SettingsService.cs;src/Logging/Logger.cs,"设置持久化并在不可写时回退；日志可追踪","单元测试：Save/Load roundtrip；Logger 在不可写目录回退到 %TEMP%"
Flow,8,Single Capture Flow,3,MUST,TODO,unassigned,,src/Flow/SingleCaptureController.cs;src/Annotator/AnnotatorWindow.*,"Capture -> Annotator 流程顺畅，图像可显示","集成测试：Mock CaptureEngine 返回图像，验证 Annotator 被调用并显示"
Annotator,9,Annotator Basic Tools,5,MUST,TODO,unassigned,,src/Annotator/CanvasModel.cs;src/Annotator/ToolHandlers.cs;src/Annotator/ExportService.cs,"支持画笔/矩形/箭头/文字/模糊；Undo/Redo ≥10；导出 PNG 可粘贴","单元测试：AnnotationModel 的增删改和 Undo/Redo；集成：导出 PNG 能在 Teams 粘贴"
LongCapture,10,UIA ScrollController,4,MUST,TODO,unassigned,,src/LongCapture/UiAutomationScrollController.cs,"读取 total/visible/currentOffset 并执行 programmatic scroll","集成测试（Word）：读取 scroll info 并自动抓取 fragments"
LongCapture,11,MessageScroll Fallback,3,MUST,TODO,unassigned,,src/LongCapture/MessageScrollFallback.cs,"UIA 不可用时使用 PageDown/WM_VSCROLL 回退","集成测试：在不支持 UIA 的 Electron/Teams 场景验证回退是否推进内容"
LongCapture,12,StabilityChecker,2,MUST,TODO,unassigned,,src/LongCapture/StabilityChecker.cs,"像素差或时间策略判定稳定性并触发重试/手动","单元测试：不同差异返回 true/false；达到阈值触发 ManualTakeover"
LongCapture,13,Manual Takeover UX,2,MUST,TODO,unassigned,,src/LongCapture/ManualTakeoverController.cs;UI Modal,"进入手动模式并按 PageDown 捕获片段","集成/手工测试：动态加载页面触发手动接管并按键捕获，≤3 次完成"
Stitch,14,Stitch Engine,4,MUST,TODO,unassigned,,src/Stitch/StitchEngine.cs;src/Stitch/FragmentManager.cs,"按 stride 拼接 fragments；成功后清理，失败时保留","单元测试：小图集合拼接验证像素或 hash；集成：生成 final image 可打开"
Stitch,15,Sticky Header Detection,2,SHOULD,TODO,unassigned,,src/Stitch/StickyHeaderDetector.cs,"相似度阈值裁剪重复 header","单元测试：高相似度裁剪；手工验证在常见网页上生效"
Stitch,16,Chunked Write & Memory,3,MUST,TODO,unassigned,,src/Stitch/ChunkedWriter.cs;src/Platform/MemoryEstimator.cs,"超阈值时分块写入或提示用户分段","单元测试：低内存场景返回 chunk plan；集成：大型图分块写成功"
Platform,17,DPI Helper,2,MUST,TODO,unassigned,,src/Platform/DpiHelper.cs,"多显示器 DPI 转换，支持 1.0/1.5/2.0","单元测试：多 dpiScale 转换正确；集成手工验证"
UI,18,Settings UI,2,MUST,TODO,unassigned,,src/UI/SettingsWindow.*;tests/Integration/SettingsPersistenceTest.cs,"最小设置页面修改后重启生效","集成测试：修改设置并重启验证加载"
UX,19,Error Hints & Guidance,1.5,MUST,TODO,unassigned,,src/UI/ErrorHintService.cs,"错误时提供可执行建议并记录日志","单元测试：错误码->提示映射；集成验证弹窗"
UAT,20,UAT Guide & CSV,1,MUST,TODO,unassigned,,docs/UAT_GUIDE.md;tools/experiment_results.csv,"UAT 指南与 CSV 模板供 Beta 用户使用","人工试跑 2-3 场景并确认字段齐全"
QA,21,QA Coverage & Integration Skeleton,3,MUST,TODO,unassigned,,tests/*;.github/workflows/test.yml,"补充单元测试并提供集成自动化占位","单元测试覆盖关键函数并 CI 通过"
Release,22,Release Beta Package,2,SHOULD,TODO,unassigned,,build/release.ps1;docs/README_BETA.md,"生成 Beta 包并在 2 台机测试安装","在 2 台不同配置机器安装并完成一次完整场景"
